,Location,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,year
0,United States,528412,578207,582298,683067,720385,761308,918293,814589,822509,902943,912076,1999-2009
1,Alaama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
2,Alaska,1242,1456,1584,1955,2742,4679,4960,3904,3705,3520,3538,1999-2009
3,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
4,Arkansas,18358,17716,16823,15870,15499,15503,15452,15160,14223,13923,14377,1999-2009
5,California,176822,211619,203345,283750,288000,295049,313893,329893,345507,422823,425321,1999-2009
6,Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
7,Connetiut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
8,Delaware,0,0,0,0,0,0,0,0,0,0,0,1999-2009
9,Distrit of Columia,1624,1625,1649,1710,2352,2432,2522,2498,2365,2298,2231,1999-2009
10,Florida,8517,9463,10515,14791,14659,14718,13980,12253,357,403,944,1999-2009
11,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
12,Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
13,Idaho,2196,1921,1823,2253,3377,3614,3601,3777,3773,3799,4266,1999-2009
14,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
15,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
16,Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,18,89,147,1999-2009
18,Kentuky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
19,Louisiana,NA,NA,NA,NA,NA,2,4400,6568,8625,11532,14166,1999-2009
20,Maine,1092,1289,1388,1894,6627,7861,7965,8362,8654,8963,2128,1999-2009
21,Maryland,4627,4677,4704,4832,4743,4603,4643,4474,4385,4416,4608,1999-2009
22,Massahusetts,3718,5666,6938,9000,10570,11716,13767,14200,15109,16900,18200,1999-2009
23,Mihigan,43394,46309,47920,51425,53351,54986,55158,56210,57980,58653,59326,1999-2009
24,Minnesota,7111,7317,7773,7506,6302,8329,9940,10236,18862,20759,22750,1999-2009
25,Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
26,Missouri,36575,39203,41111,43964,44835,49295,49481,47435,46969,49333,52732,1999-2009
27,Montana,2765,2794,2925,2996,2864,2990,3127,3117,3095,3093,3144,1999-2009
28,Neraska,862,1109,1168,1208,1301,1356,1549,1680,1723,1832,2412,1999-2009
29,Nevada,491,449,795,1501,2038,4408,4991,5383,5663,6205,6507,1999-2009
30,New Hampshire,122,124,38,35,26,25,25,21,16,21,25,1999-2009
31,New Jersey,19704,20592,15639,16430,17707,18987,20884,21198,21582,20623,20553,1999-2009
32,New Mexio,NA,883,3170,6357,8960,9525,9614,10477,11769,12365,13443,1999-2009
33,New York,89577,88788,88370,84879,83846,85613,84270,82801,80099,78494,75158,1999-2009
34,North Carolina,9085,11236,12667,27064,34058,41911,50818,53141,49877,50017,53162,1999-2009
35,North Dakota,NA,NA,NA,450,450,777,1362,1896,1872,1853,1834,1999-2009
36,Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
37,Oklahoma,6159,7473,7011,10000,7000,4342,5505,4077,3700,3327,3475,1999-2009
38,Oregon,1265,2070,2678,1920,2376,4495,5086,3746,3609,3389,3077,1999-2009
39,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
40,Rhode Island,0,0,0,0,0,0,0,0,0,0,0,1999-2009
41,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
42,South Dakota,886,994,1015,1057,948,923,901,936,986,996,1006,1999-2009
43,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
44,Texas,67661,70284,77824,62366,66967,71381,187099,64425,59025,51567,52628,1999-2009
45,Utah,181,279,318,348,450,1787,1755,1674,1765,1964,1969,1999-2009
46,Vermont,NA,NA,NA,1563,1222,1543,1896,2116,2365,2653,NA,1999-2009
47,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2941,1999-2009
48,Washington,7625,6514,7208,11000,21436,22390,22738,23988,25152,27075,25689,1999-2009
49,West Virginia,5686,5849,5312,4535,5205,4945,4371,5688,6026,6026,5908,1999-2009
50,Wisonsin,11067,10508,10587,10408,10474,11123,12540,13255,13653,14032,14411,1999-2009
51,Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-2009
